2019-08-04 20:25:11,757 | INFO | ManagedManagementStrategy.java 187 | JMX is enabled
2019-08-04 20:25:11,887 | INFO | DefaultTypeConverter.java 50 | Loaded 176 type converters
2019-08-04 20:25:12,019 | INFO | DefaultCamelContext.java 1806 | AllowUseOriginalMessage is enabled. If access to the original message is not needed, then its recommended to turn this option off as it may improve performance.
2019-08-04 20:25:12,019 | INFO | DefaultCamelContext.java 1816 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2019-08-04 20:25:12,023 | INFO | FileEndpoint.java 83 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2019-08-04 20:25:12,024 | INFO | FileEndpoint.java 89 | Using default memory based idempotent repository with cache max size: 1000
2019-08-04 20:25:12,056 | INFO | DefaultCamelContext.java 2310 | Route: route1 started and consuming from: Endpoint[file://input?noop=true]
2019-08-04 20:25:12,056 | INFO | DefaultCamelContext.java 1654 | Total 1 routes, of which 1 is started.
2019-08-04 20:25:12,058 | INFO | DefaultCamelContext.java 1655 | Apache Camel 2.13.0 (CamelContext: camel-1) started in 0.301 seconds
2019-08-04 20:25:36,163 | INFO | AbstractApplicationContext.java 510 | Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@6aa8ceb6: startup date [Sun Aug 04 20:25:36 IST 2019]; root of context hierarchy
2019-08-04 20:25:36,230 | INFO | XmlBeanDefinitionReader.java 315 | Loading XML bean definitions from class path resource [context.xml]
2019-08-04 20:25:36,922 | INFO | DefaultListableBeanFactory.java 598 | Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@7b9a4292: defining beans [routeBuilder,template,consumerTemplate,camel-1:beanPostProcessor,camel-1]; root of factory hierarchy
2019-08-04 20:25:37,133 | INFO | DefaultCamelContext.java 1619 | Apache Camel 2.13.0 (CamelContext: camel-1) is starting
2019-08-04 20:25:37,135 | INFO | ManagedManagementStrategy.java 187 | JMX is enabled
2019-08-04 20:25:37,302 | INFO | DefaultTypeConverter.java 50 | Loaded 176 type converters
2019-08-04 20:25:37,443 | INFO | DefaultCamelContext.java 1806 | AllowUseOriginalMessage is enabled. If access to the original message is not needed, then its recommended to turn this option off as it may improve performance.
2019-08-04 20:25:37,443 | INFO | DefaultCamelContext.java 1816 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2019-08-04 20:25:37,449 | INFO | FileEndpoint.java 83 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2019-08-04 20:25:37,450 | INFO | FileEndpoint.java 89 | Using default memory based idempotent repository with cache max size: 1000
2019-08-04 20:25:37,486 | INFO | DefaultCamelContext.java 2310 | Route: route1 started and consuming from: Endpoint[file://input?noop=true]
2019-08-04 20:25:37,487 | INFO | DefaultCamelContext.java 1654 | Total 1 routes, of which 1 is started.
2019-08-04 20:25:37,489 | INFO | DefaultCamelContext.java 1655 | Apache Camel 2.13.0 (CamelContext: camel-1) started in 0.355 seconds
2019-08-04 20:26:41,837 | INFO | AbstractApplicationContext.java 510 | Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@6aa8ceb6: startup date [Sun Aug 04 20:26:41 IST 2019]; root of context hierarchy
2019-08-04 20:26:41,912 | INFO | XmlBeanDefinitionReader.java 315 | Loading XML bean definitions from class path resource [context.xml]
